Country,All Ages,The Young,The Old,Diff. Young vs Old
Croatia,63,14,80,-66
Moldova,71,29,86,-57
Serbia,37,3,54,-51
Bulgaria,81,40,90,-50
Montenegro,76,50,97,-47
Paraguay,57,37,83,-46
Bosnia and Herzegovina,65,33,78,-45
Lithuania,19,1,44,-43
Romania,32,8,48,-40
El Salvador,33,17,52,-35
Albania,87,66,100,-34
Hungary,56,36,70,-34
Ukraine,105,82,115,-33
North Macedonia,84,67,98,-31
Panama,39,26,56,-30
Mauritius,70,85,28,57
United States,23,62,10,52
Canada,15,58,8,50
China,60,79,30,49
Uzbekistan,47,71,22,49
Japan,51,73,36,37
Mongolia,77,86,53,33
Algeria,85,93,62,31
Libya,66,80,50,30
