Country,Unemployment rate (%)
Eswatini,34.2
South Africa,32.1
Djibouti,26.1
Occupied Palestinian Territory,24.4
Guadeloupe,23.8
Botswana,23.4
French Guiana,23.2
Réunion,22.4
Namibia,19.9
Curaçao,19.1
Somalia,18.8
Martinique,17.6
Lesotho,16.9
Jordan,16.6
Iraq,16.2
Tunisia,15.1
Montenegro,14.9
Angola,14.1
Guyana,13.2
North Macedonia,13.2
Rwanda,12.4
Spain,12.2
Saint Lucia,12.1
Morocco,11.8
Georgia,11.7
Cabo Verde,11.3
Lebanon,11.3
Greece,11.0
Kiribati,11.0
Albania,10.7
Bosnia and Herzegovina,10.7
New Caledonia,10.7
Nepal,10.7
Kosovo,10.5
Mauritania,10.4
Algeria,10.2
Marshall Islands,9.8
Ukraine,9.8
Colombia,9.6
Türkiye,9.4
Zimbabwe,9.3
Belize,9.1
Greenland,9.1
Sao Tome and Principe,8.8
Chile,8.7
Bahamas,8.6
Armenia,8.4
Uruguay,8.4
Costa Rica,8.3
Montserrat,8.3
Serbia,8.3
Iran,8.1
Suriname,7.9
Italy,7.6
Sweden,7.6
Sudan,7.5
Venezuela,7.5
France,7.3
Tuvalu,7.3
Finland,7.1
Brazil,6.8
Egypt,6.8
Lithuania,6.8
Mozambique,6.8
Panama,6.7
Barbados,6.5
Gambia,6.5
Latvia,6.5
Portugal,6.5
Canada,6.4
Estonia,6.4
Grenada,6.3
Monaco,6.3
Pakistan,6.3
Argentina,6.1
Honduras,6.1
Croatia,6.1
Puerto Rico,6.0
Liberia,5.9
Zambia,5.9
Cyprus,5.8
Paraguay,5.8
Slovakia,5.8
Afghanistan,5.7
Azerbaijan,5.7
Kenya,5.7
Dominican Republic,5.6
Mauritius,5.6
Romania,5.6
Belgium,5.5
Antigua and Barbuda,5.4
Guam,5.4
Austria,5.3
Burkina Faso,5.3
Brunei Darussalam,5.3
Uzbekistan,5.3
Luxembourg,5.2
Mongolia,5.2
Nicaragua,5.2
China,5.1
Denmark,5.1
Nauru,5.1
Guinea,5.0
Samoa,5.0
Kazakhstan,4.9
Peru,4.9
San Marino,4.9
Kyrgyzstan,4.8
Bangladesh,4.6
Maldives,4.6
Sri Lanka,4.5
Comoros,4.4
Bulgaria,4.3
Fiji,4.3
Cayman Islands,4.2
India,4.2
Ireland,4.2
Hungary,4.1
Switzerland,4.0
United Kingdom of Great Britain and Northern Ireland,4.0
Jersey,4.0
Saudi Arabia,4.0
United States of America,4.0
Vanuatu,4.0
Australia,3.9
Ethiopia,3.9
Malaysia,3.9
"Taiwan, China",3.8
New Zealand,3.7
Slovenia,3.7
Norway,3.6
Belarus,3.5
Ecuador,3.5
Iceland,3.5
Malta,3.5
Netherlands,3.5
Israel,3.4
Singapore,3.4
Trinidad and Tobago,3.4
Uganda,3.4
Cameroon,3.3
Indonesia,3.3
Oman,3.3
Wallis and Futuna,3.3
Madagascar,3.2
Sierra Leone,3.2
Bhutan,3.1
Germany,3.1
Nigeria,3.1
Russian Federation,3.1
Bolivia,3.0
Jamaica,3.0
El Salvador,3.0
Ghana,2.9
"Hong Kong, China",2.9
Seychelles,2.9
Republic of Korea,2.8
Mexico,2.8
Senegal,2.8
"Tanzania, United Republic of",2.8
Guinea-Bissau,2.7
Isle of Man,2.7
Papua New Guinea,2.7
Poland,2.7
Czechia,2.6
Philippines,2.6
Japan,2.5
"Macao, China",2.5
Mali,2.4
Côte d'Ivoire,2.3
Guatemala,2.3
United Arab Emirates,2.2
Kuwait,2.2
Togo,2.0
Benin,1.7
Cuba,1.7
Tonga,1.7
Republic of Moldova,1.6
Viet Nam,1.6
"Congo, Democratic Republic of the",1.5
Myanmar,1.5
Timor-Leste,1.5
Cook Islands,1.3
Guernsey,1.2
Lao People's Democratic Republic,1.2
Chad,1.1
Burundi,1.0
"Falkland Islands, Malvinas",1.0
Malawi,0.9
Palau,0.8
Thailand,0.7
Niue,0.6
Cambodia,0.4
Niger,0.4
Qatar,0.1
Tajikistan,0.1
,
