Country,Average hours per week per employed person,Share of employed working 49 or more hours per week
Afghanistan,39.6,15%
Albania,41.7,20%
Algeria,43.7,26%
Angola,41.4,31%
Argentina,37.0,16%
Armenia,40.1,10%
Aruba,39.4,
Australia,32.3,12%
Austria,33.3,7%
Azerbaijan,34.4,4%
Bangladesh,46.9,47%
Belarus,39.1,2%
Belgium,35.0,8%
Belize,39.0,20%
Benin,40.4,27%
Bermuda,41.8,21%
Bhutan,54.4,61%
Bolivia,38.0,22%
Bosnia and Herzegovina,41.4,7%
Botswana,43.8,31%
Brazil,39.0,11%
Brunei Darussalam,46.0,23%
Bulgaria,39.2,1%
Burkina Faso,46.3,41%
Burundi,40.3,19%
Cabo Verde,45.3,25%
Cambodia,40.4,34%
Canada,32.1,9%
Cayman Islands,42.0,18%
Chile,40.4,10%
China,46.1,
Colombia,44.2,23%
Comoros,37.8,13%
Congo,48.6,45%
"Congo, Democratic Republic of the",36.3,15%
Cook Islands,37.0,7%
Costa Rica,42.5,22%
Côte d'Ivoire,42.6,30%
Croatia,37.9,
Cuba,41.0,3%
Curaçao,36.6,5%
Cyprus,37.6,9%
Czechia,37.7,9%
Denmark,33.9,6%
Dominican Republic,40.8,17%
Ecuador,38.4,23%
Egypt,43.0,29%
El Salvador,43.2,29%
Estonia,36.7,4%
Eswatini,42.7,27%
Ethiopia,31.9,15%
Falkland Islands (Malvinas),44.7,27%
Finland,34.4,7%
France,35.9,9%
Gambia,41.6,28%
Georgia,40.5,
Germany,34.2,
Ghana,38.5,24%
Greece,39.7,13%
Grenada,40.2,13%
Guyana,44.7,26%
Haiti,42.0,25%
Honduras,43.6,29%
"Hong Kong, China",43.0,30%
Hungary,38.5,3%
Iceland,36.3,12%
India,46.7,51%
Indonesia,40.0,22%
"Iran, Islamic Republic of",44.3,32%
Iraq,31.7,5%
Ireland,35.6,9%
Isle of Man,35.0,
Israel,38.5,14%
Italy,36.3,9%
Jamaica,42.7,21%
Japan,36.6,
Jersey,40.0,
Jordan,47.0,34%
Kazakhstan,38.0,2%
Kenya,45.6,26%
Kiribati,27.3,10%
"Korea, Republic of",38.6,17%
Kosovo,43.2,16%
Kyrgyzstan,38.0,9%
Lao People's Democratic Republic,41.5,25%
Latvia,38.9,2%
Lebanon,47.6,38%
Lesotho,50.4,36%
Liberia,47.7,27%
Lithuania,38.6,2%
Luxembourg,35.6,6%
"Macau, China",46.0,14%
Madagascar,34.5,10%
Malaysia,44.7,12%
Maldives,46.5,32%
Mali,41.9,19%
Malta,36.8,7%
Marshall Islands,37.9,11%
Mauritania,47.6,46%
Mauritius,40.1,1%
Mexico,43.7,28%
"Micronesia, Federated States of",30.4,2%
"Moldova, Republic of",39.7,3%
Mongolia,47.3,33%
Montenegro,43.3,12%
Montserrat,39.0,9%
Morocco,44.9,38%
Mozambique,36.4,19%
Myanmar,44.7,38%
Namibia,44.9,34%
Nauru,37.4,6%
Nepal,41.0,28%
Netherlands,31.6,6%
New Caledonia,37.2,9%
New Zealand,33.0,15%
Nicaragua,36.5,19%
Niger,39.7,29%
Niue,38.6,14%
North Macedonia,39.7,3%
Norway,33.7,6%
Occupied Palestinian Territory,41.5,18%
Pakistan,46.9,40%
Palau,39.9,4%
Panama,36.2,9%
Peru,43.1,32%
Philippines,40.6,19%
Poland,39.8,9%
Portugal,38.2,8%
Qatar,48.0,29%
Réunion,33.0,9%
Romania,39.7,3%
Russian Federation,39.2,2%
Rwanda,30.4,12%
Saint Lucia,39.9,7%
Samoa,44.5,11%
Senegal,45.5,17%
Serbia,42.0,12%
Seychelles,40.7,14%
Sierra Leone,42.7,36%
Singapore,42.6,
Slovakia,37.7,6%
Slovenia,38.7,7%
Solomon Islands,34.6,11%
Somalia,31.4,10%
South Africa,42.6,17%
Spain,36.7,7%
Sri Lanka,42.4,26%
Sweden,35.3,6%
Switzerland,35.7,9%
Tajikistan,41.5,31%
"Tanzania, United Republic of",39.7,28%
Thailand,42.3,17%
Timor-Leste,34.9,20%
Tonga,38.3,14%
Tunisia,44.3,18%
Türkiye,43.9,28%
Tuvalu,36.4,15%
Uganda,44.5,21%
Ukraine,39.0,13%
United Arab Emirates,50.9,39%
United Kingdom,35.9,11%
United States,38.0,13%
Uruguay,37.3,9%
Vanuatu,24.7,4%
"Venezuela, Bolivarian Republic of",38.7,6%
Viet Nam,41.6,25%
Wallis and Futuna Islands,31.8,6%
Yemen,41.5,27%
Zambia,43.5,20%
Zimbabwe,41.3,18%
